Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-17949900033,03/06/2019,4170,DEWEY'S JACK AND JILL,115 E MAIN ST  PO BOX 359,WEST BRANCH,52358,POINT (-91.343394 41.671391),16,CEDAR,1022100,MIXTO TEQUILA,395,PROXIMO,87409,JOSE CUERVO ESPECIAL SILVER,12,1000,13,19.5,2,39,2,0.52
INV-18557000059,04/03/2019,2508,HY-VEE FOOD STORE #1 / CEDAR RAPIDS,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,POINT (-91.697941 41.97447),57,LINN,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19067,JIM BEAM,12,1000,12.59,18.89,3,56.67,3,0.79
INV-18441800016,03/29/2019,3717,THE LIQUOR STOP / SUMNER,201 W 1ST ST,SUMNER,50674,POINT (-92.09922100000001 42.847479),9,BREMER,1081400,AMERICAN SCHNAPPS,434,LUXCO INC,82127,ARROW PEACH SCHNAPPS,12,1000,5,7.5,2,15,2,0.52
INV-18057100023,03/11/2019,3712,MONTE SPIRITS,109 N 4TH ST,MONTEZUMA,50171,POINT (-92.523692 41.585429),79,POWESHIEK,1081400,AMERICAN SCHNAPPS,65,JIM BEAM BRANDS,82607,DEKUYPER SOUR APPLE PUCKER,12,1000,7.87,11.81,3,35.43,3,0.79
INV-18574900021,04/04/2019,5162,URBANDALE LIQUOR,"6401, DOUGLAS AVE",URBANDALE,50322,POINT (-93.705732 41.629411),77,POLK,1051100,AMERICAN BRANDIES,205,E & J GALLO WINERY,52581,E & J VSOP,24,375,3.75,5.63,10,56.3,3.75,0.99
INV-18578500116,04/04/2019,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,POLK,1062200,WHITE RUM,434,LUXCO INC,45277,PARAMOUNT WHITE RUM,12,1000,4.42,6.63,60,397.8,60,15.85
INV-19025400011,04/29/2019,5436,SMOKIN' JOE'S #8 TOBACCO AND LIQUOR OUTLET,90 W. KIMBERLY RD STE 55-56,DAVENPORT,52806,,82,SCOTT,1031100,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,24,66.96,9,2.37
INV-18475100036,04/01/2019,3562,WAL-MART 0797 / W BURLINGTON,324 WEST AGENCY RD,WEST BURLINGTON,52655,POINT (-91.158407 40.813125),29,DES MOINES,1022200,100% AGAVE TEQUILA,330,GEMINI SPIRITS,88036,MARGARITAVILLE SILVER TEQUILA,12,750,6.19,9.29,12,111.48,9,2.37
INV-18033500001,03/11/2019,4967,JEFF'S MARKET / BLUE GRASS,"102, W MAYNE ST",BLUE GRASS,52726,POINT (-90.766126 41.509119),82,SCOTT,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,3000,30,45,3,135,9,2.37
INV-18043400031,03/11/2019,3679,FRANKLIN STREET FLORAL & GIFT,103 FRANKLIN ST,MONONA,52159,POINT (-91.390767 43.055133),22,CLAYTON,1081400,AMERICAN SCHNAPPS,434,LUXCO INC,80578,ARROW PEPPERMINT SCHNAPPS,6,1750,7,10.5,1,10.5,1.75,0.46
INV-17956400021,03/06/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1012100,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,24,110.64,9,2.37
INV-18345400005,03/26/2019,4641,KUM & GO #573 / SE 14TH DM,5830 SE 14TH ST,DES MOINES,50315,,77,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36301,HAWKEYE VODKA MINI,12,500,4.13,6.2,6,37.2,3,0.79
INV-17898600029,03/04/2019,3417,BIG G FOOD STORE,PO BOX 261  310 W DILLON,MARENGO,52301,,48,IOWA,1012100,CANADIAN WHISKIES,65,JIM BEAM BRANDS,10627,CANADIAN CLUB WHISKY,12,1000,9.71,14.57,2,29.14,2,0.52
INV-17914200177,03/05/2019,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,LINN,1081400,AMERICAN SCHNAPPS,55,SAZERAC NORTH AMERICA,84166,99 BLACKBERRIES,12,750,7.79,11.69,2,23.38,1.5,0.39
INV-18008400022,03/08/2019,5098,BEST FOOD MART 3  LLC,1621 UNIVERSITY AVE,DES MOINES,50311,,77,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,300,7.35,11.03,10,110.3,3,0.79
INV-18412100008,03/28/2019,4959,BANI'S,2128 COLLEGE ST,CEDAR FALLS,50613,POINT (-92.455801 42.518018000000005),7,BLACK HAWK,1011400,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,86670,JACK DANIELS TENNESSEE HONEY,12,750,15.57,23.36,36,840.96,27,7.13
INV-18002500003,03/07/2019,4014,WAL-MART 1732 / DENISON,510 C AVE,DENISON,51442,,24,CRAWFORD,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28866,TANQUERAY GIN,12,750,13,19.5,12,234,9,2.37
INV-17917900041,03/05/2019,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812  S 1ST AVE,IOWA CITY,52240,,52,JOHNSON,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19067,JIM BEAM,12,1000,12.59,18.89,1,18.89,1,0.26
INV-18263600022,03/20/2019,2508,HY-VEE FOOD STORE #1 / CEDAR RAPIDS,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,POINT (-91.697941 41.97447),57,LINN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64870,FIREBALL CINNAMON,48,100,0.9,1.35,240,324,24,6.34
INV-18248300042,03/20/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1011100,BLENDED WHISKIES,260,DIAGEO AMERICAS,25607,SEAGRAMS 7 CROWN,12,1000,8,12,12,144,12,3.17
INV-18373100013,03/26/2019,3705,LIQUOR LOCKER,507 1ST AVE #100,ROCK RAPIDS,51246,,60,LYON,1062200,WHITE RUM,434,LUXCO INC,45277,PARAMOUNT WHITE RUM,12,1000,4.42,6.63,12,79.56,12,3.17
INV-18077900005,03/12/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1012400,IRISH WHISKIES,370,PERNOD RICARD USA,15658,JAMESON CASKMATES,12,750,18.49,27.74,12,332.88,9,2.37
